Report_Section,Dimension,Metric1,Metric2,Metric3,Metric4
AVERAGE_ORDER_VALUE,Overall Statistics,74544.12024614868,204.0500030517578,249955.5,
CATEGORY_PERFORMANCE,Beauty,227489624.69540405,2997.0,,
CATEGORY_PERFORMANCE,Electronics,226564923.26298523,3036.0,,
CATEGORY_PERFORMANCE,Books,224999226.81274414,3035.0,,
CATEGORY_PERFORMANCE,Clothing,222409335.93345642,3022.0,,
CATEGORY_PERFORMANCE,Home & Kitchen,216698692.98764038,2910.0,,
COD_VS_DIGITAL_PAYMENTS,Cash on Delivery,74865.79946868712,3827.0,286511414.56666565,
COD_VS_DIGITAL_PAYMENTS,Digital Payments,74433.93798671481,11173.0,831650389.1255646,
CUSTOMER_COUNT_BY_STATE,Sikkim,572.0,596.0,,
CUSTOMER_COUNT_BY_STATE,Rajasthan,550.0,568.0,,
CUSTOMER_COUNT_BY_STATE,Tamil Nadu,546.0,567.0,,
CUSTOMER_COUNT_BY_STATE,Madhya Pradesh,541.0,550.0,,
CUSTOMER_COUNT_BY_STATE,Manipur,541.0,555.0,,
CUSTOMER_COUNT_BY_STATE,Meghalaya,540.0,559.0,,
CUSTOMER_COUNT_BY_STATE,Assam,540.0,553.0,,
CUSTOMER_COUNT_BY_STATE,Bihar,538.0,549.0,,
CUSTOMER_COUNT_BY_STATE,Jharkhand,535.0,547.0,,
CUSTOMER_COUNT_BY_STATE,Nagaland,533.0,545.0,,
CUSTOMER_COUNT_BY_STATE,Chhattisgarh,532.0,556.0,,
CUSTOMER_COUNT_BY_STATE,Telangana,531.0,544.0,,
CUSTOMER_COUNT_BY_STATE,Uttar Pradesh,528.0,551.0,,
CUSTOMER_COUNT_BY_STATE,Tripura,523.0,540.0,,
CUSTOMER_COUNT_BY_STATE,Odisha,523.0,542.0,,
CUSTOMER_COUNT_BY_STATE,West Bengal,515.0,528.0,,
CUSTOMER_COUNT_BY_STATE,Maharashtra,514.0,531.0,,
CUSTOMER_COUNT_BY_STATE,Karnataka,513.0,539.0,,
CUSTOMER_COUNT_BY_STATE,Punjab,509.0,527.0,,
CUSTOMER_COUNT_BY_STATE,Haryana,505.0,518.0,,
CUSTOMER_COUNT_BY_STATE,Goa,503.0,522.0,,
CUSTOMER_COUNT_BY_STATE,Arunachal Pradesh,502.0,519.0,,
CUSTOMER_COUNT_BY_STATE,Kerala,501.0,510.0,,
CUSTOMER_COUNT_BY_STATE,Mizoram,497.0,505.0,,
CUSTOMER_COUNT_BY_STATE,Uttarakhand,493.0,503.0,,
CUSTOMER_COUNT_BY_STATE,Gujarat,484.0,504.0,,
CUSTOMER_COUNT_BY_STATE,Himachal Pradesh,477.0,492.0,,
CUSTOMER_COUNT_BY_STATE,Andhra Pradesh,462.0,480.0,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4795,8.0,630607.09765625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9938,7.0,509537.0341796875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7771,7.0,610198.3017578125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8167,7.0,708197.078125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4366,7.0,723331.8264160156,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5161,7.0,413808.07653808594,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8306,7.0,622213.3852539062,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2175,7.0,521797.458984375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4863,7.0,590396.7421875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7512,7.0,657425.6166992188,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4143,7.0,395650.654296875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2813,7.0,632848.162109375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST6080,7.0,608428.998046875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7903,7.0,875139.1328125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9505,7.0,366240.015625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8009,6.0,432479.138671875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2221,6.0,258894.96728515625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9284,6.0,348396.3896484375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7615,6.0,380967.3759765625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5739,6.0,147549.658203125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2946,6.0,581254.7265625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5104,6.0,632640.51953125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5172,6.0,655173.09375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST1103,6.0,492523.912109375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8272,6.0,623254.0390625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST6889,6.0,562876.291015625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4060,6.0,358806.4716796875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5047,6.0,546991.1884765625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5512,6.0,230997.35205078125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST1971,6.0,333127.8271484375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2292,6.0,477889.51611328125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4688,6.0,341062.484375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9444,6.0,375587.7353515625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7670,6.0,510786.2421875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2290,6.0,254192.03173828125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST6806,6.0,166710.751953125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5934,6.0,401600.3591308594,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5067,6.0,360310.224609375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2789,6.0,294604.44921875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7684,6.0,664397.736328125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9248,6.0,684057.05078125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8404,6.0,421348.2197265625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9117,6.0,353763.0048828125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2898,6.0,527213.1828613281,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2764,6.0,727649.9453125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4189,6.0,424180.693359375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST6773,6.0,345975.2080078125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST3713,6.0,577791.0187988281,,
CUSTOMER_PURCHASE_FREQUENCY,CUST1235,6.0,478449.955078125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5350,6.0,545106.7607421875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST6597,6.0,533119.5405273438,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4032,6.0,509813.70703125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST1508,6.0,509822.67736816406,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9779,6.0,456976.0224609375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST3504,6.0,372258.427734375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2006,6.0,605476.265625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2160,6.0,710788.41015625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4113,6.0,496289.57421875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2566,6.0,525295.390625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9482,6.0,330445.0634765625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8483,6.0,473515.775390625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5338,6.0,330205.6845703125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5001,6.0,391702.06103515625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST4355,6.0,598003.921875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5375,6.0,642885.7592773438,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9620,6.0,547795.58984375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST5889,6.0,618392.9638671875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8185,6.0,463952.44735717773,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9380,6.0,683639.03515625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST8393,6.0,689197.208984375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST1627,6.0,398710.54296875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7456,6.0,171422.69311523438,,
CUSTOMER_PURCHASE_FREQUENCY,CUST1847,6.0,264900.255859375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2859,6.0,296248.85498046875,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9589,6.0,491268.66015625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7693,6.0,554926.5859375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST2765,6.0,372850.859375,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7294,6.0,504837.63134765625,,
CUSTOMER_PURCHASE_FREQUENCY,CUST9283,6.0,526918.48828125,,
CUSTOMER_PURCHASE_FREQUENCY,CUST7697,6.0,484064.90625,,
DELIVERY_SUCCESS_RATE,Delivered,5075.0,33.83,378749035.43089294,
DELIVERY_SUCCESS_RATE,Pending,5044.0,33.63,376214132.82862854,
DELIVERY_SUCCESS_RATE,Returned,4881.0,32.54,363198635.43270874,
HIGH_VALUE_ORDERS,Orders > 100K INR,4291.0,661919434.859375,,
MONTHLY_SALES_TRENDS,August,97576563.06736755,1312.0,74372.38038671308,8
MONTHLY_SALES_TRENDS,December,97467830.48623657,1296.0,75206.65932579982,12
MONTHLY_SALES_TRENDS,May,97195848.37167358,1267.0,76713.37677322303,5
MONTHLY_SALES_TRENDS,July,95176904.55517578,1306.0,72876.6497359692,7
MONTHLY_SALES_TRENDS,November,94809186.3576355,1225.0,77395.25416949837,11
MONTHLY_SALES_TRENDS,October,93478344.11599731,1233.0,75813.74218653473,10
MONTHLY_SALES_TRENDS,March,93064349.33239746,1226.0,75908.9309399653,3
MONTHLY_SALES_TRENDS,January,92051785.03475952,1276.0,72140.8973626642,1
MONTHLY_SALES_TRENDS,April,91388990.14506531,1203.0,75967.57285541588,4
MONTHLY_SALES_TRENDS,September,91225555.8717041,1248.0,73097.40053822444,9
MONTHLY_SALES_TRENDS,June,89730685.67085266,1225.0,73249.53932314503,6
MONTHLY_SALES_TRENDS,February,84995760.68336487,1183.0,71847.64216683421,2
PAYMENT_METHOD_PREFERENCES,Cash on Delivery,3827.0,25.51,286511414.56666565,
PAYMENT_METHOD_PREFERENCES,Credit Card,3800.0,25.33,286889235.50675964,
PAYMENT_METHOD_PREFERENCES,Debit Card,3727.0,24.85,273036622.59962463,
PAYMENT_METHOD_PREFERENCES,UPI,3646.0,24.31,271724531.0191803,
PRODUCT_QUANTITY_DISTRIBUTION,Home & Kitchen,3.0,8734.0,,
PRODUCT_QUANTITY_DISTRIBUTION,Beauty,3.0,9090.0,,
PRODUCT_QUANTITY_DISTRIBUTION,Books,2.0,8950.0,,
PRODUCT_QUANTITY_DISTRIBUTION,Electronics,2.0,9072.0,,
PRODUCT_QUANTITY_DISTRIBUTION,Clothing,2.0,8924.0,,
RETURNS_BY_CATEGORY,Books,1029.0,75856807.28826904,21.08,
RETURNS_BY_CATEGORY,Electronics,1006.0,75340240.5405426,20.61,
RETURNS_BY_CATEGORY,Clothing,982.0,72048180.57728577,20.12,
RETURNS_BY_CATEGORY,Beauty,954.0,71697121.41577148,19.55,
RETURNS_BY_CATEGORY,Home & Kitchen,910.0,68256285.61083984,18.64,
STATE_WISE_SALES,Sikkim,43113469.549346924,596.0,572.0,
STATE_WISE_SALES,Rajasthan,42906174.998291016,568.0,550.0,
STATE_WISE_SALES,Chhattisgarh,42857545.31201172,556.0,532.0,
STATE_WISE_SALES,Meghalaya,42773153.030944824,559.0,540.0,
STATE_WISE_SALES,Tamil Nadu,41967968.98109436,567.0,546.0,
STATE_WISE_SALES,Uttar Pradesh,41690917.18199158,551.0,528.0,
STATE_WISE_SALES,Bihar,41669240.47680664,549.0,538.0,
STATE_WISE_SALES,West Bengal,41195932.41430664,528.0,515.0,
STATE_WISE_SALES,Tripura,41103376.834228516,540.0,523.0,
STATE_WISE_SALES,Odisha,40924381.247528076,542.0,523.0,
STATE_WISE_SALES,Goa,40488242.98764038,522.0,503.0,
STATE_WISE_SALES,Madhya Pradesh,39961650.60360718,550.0,541.0,
STATE_WISE_SALES,Manipur,39934040.51516724,555.0,541.0,
STATE_WISE_SALES,Punjab,39640897.737213135,527.0,509.0,
STATE_WISE_SALES,Jharkhand,39606674.05065918,547.0,535.0,
STATE_WISE_SALES,Arunachal Pradesh,39348777.918029785,519.0,502.0,
STATE_WISE_SALES,Kerala,39279219.00036621,510.0,501.0,
STATE_WISE_SALES,Haryana,39171925.46862793,518.0,505.0,
STATE_WISE_SALES,Telangana,39077114.0614624,544.0,531.0,
STATE_WISE_SALES,Assam,38739460.246154785,553.0,540.0,
STATE_WISE_SALES,Maharashtra,38675511.58105469,531.0,514.0,
STATE_WISE_SALES,Nagaland,38670484.72340393,545.0,533.0,
STATE_WISE_SALES,Mizoram,38641789.603881836,505.0,497.0,
STATE_WISE_SALES,Karnataka,38444302.72357178,539.0,513.0,
STATE_WISE_SALES,Himachal Pradesh,38182171.899887085,492.0,477.0,
STATE_WISE_SALES,Uttarakhand,37633617.383117676,503.0,493.0,
STATE_WISE_SALES,Andhra Pradesh,36237577.212524414,480.0,462.0,
STATE_WISE_SALES,Gujarat,36226185.9493103,504.0,484.0,
TOP_REVENUE_STATES_2025,Sikkim,43113469.549346924,596.0,72338.03615662236,
TOP_REVENUE_STATES_2025,Rajasthan,42906174.998291016,568.0,75539.04048994897,
TOP_REVENUE_STATES_2025,Chhattisgarh,42857545.31201172,556.0,77081.91602879805,
TOP_REVENUE_STATES_2025,Meghalaya,42773153.030944824,559.0,76517.26839167232,
TOP_REVENUE_STATES_2025,Tamil Nadu,41967968.98109436,567.0,74017.58197723873,
TOP_SELLING_PRODUCTS,Lipstick,48159020.17449951,590.0,,
TOP_SELLING_PRODUCTS,Children's Book,48145664.511901855,636.0,,
TOP_SELLING_PRODUCTS,Headphones,48044405.84590149,610.0,,
TOP_SELLING_PRODUCTS,Hair Dryer,47428844.78057861,599.0,,
TOP_SELLING_PRODUCTS,Perfume,46284732.5796814,629.0,,
TOP_SELLING_PRODUCTS,Laptop,46173868.00756836,618.0,,
TOP_SELLING_PRODUCTS,Tablet,46170022.18493652,616.0,,
TOP_SELLING_PRODUCTS,Sneakers,46057295.93292236,596.0,,
TOP_SELLING_PRODUCTS,Air Fryer,45919707.88015747,614.0,,
TOP_SELLING_PRODUCTS,Jeans,45232819.398498535,604.0,,
